generator,copyright,minlat,minlon,maxlat,maxlon,id,visible,version2,timestamp,uid,lat,lon
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,132815974,TRUE,10,2019-03-28T20:44:50Z,42123,52.1281303,8.4171444
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,132815974,TRUE,10,2019-03-28T20:44:50Z,42123,52.1284733,8.4172891
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,132815974,TRUE,10,2019-03-28T20:44:50Z,42123,52.1282102,8.4171841
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,132815974,TRUE,10,2019-03-28T20:44:50Z,42123,52.1280989,8.4178226
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504288,TRUE,4,2019-08-07T09:13:43Z,471539,52.127941,8.4188427
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504293,TRUE,5,2018-03-31T17:04:39Z,34927,52.1276215,8.4200979
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504352,TRUE,8,2022-01-04T03:26:34Z,408955,52.1273167,8.420895
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504356,TRUE,7,2018-03-31T16:53:51Z,34927,52.1268256,8.421651
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504358,TRUE,5,2018-03-31T16:53:51Z,34927,52.126511,8.4219457
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504366,TRUE,5,2022-11-16T19:24:58Z,34927,52.1281522,8.4167069
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504373,TRUE,3,2022-01-06T03:47:29Z,408955,52.1275233,8.4143081
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504377,TRUE,4,2022-01-06T03:47:29Z,408955,52.1276777,8.4138118
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504389,TRUE,4,2018-03-31T17:04:39Z,34927,52.1280665,8.4134907
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504759,TRUE,4,2013-03-08T17:06:56Z,12448,52.1281283,8.4132939
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504763,TRUE,5,2018-03-31T17:04:39Z,34927,52.1281387,8.4131794
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504769,TRUE,3,2011-08-31T16:43:59Z,55858,52.1280753,8.4126113
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504773,TRUE,6,2018-03-31T17:04:39Z,34927,52.1280153,8.4123266
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504778,TRUE,3,2011-08-31T16:43:59Z,55858,52.1279246,8.4120073
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504783,TRUE,3,2011-08-31T16:43:59Z,55858,52.1278508,8.411857
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504787,TRUE,3,2011-08-31T16:43:59Z,55858,52.1273858,8.4116664
CGImap 0.8.8 (95129 spike-08.openstreetmap.org),OpenStreetMap and contributors,52.1264,8.4128,52.1306,8.4212,216504793,TRUE,3,2011-08-31T16:43:59Z,55858,52.127118,8.4116376
